codigo_pcd;id;nom_es;value;source;qualitative_value;notes;label_value
60203;3709;Macacona;169.09;5;;1;169,09
60204;3710;San Rafael;52.81;5;;1;52,81
60205;3711;San Jerónimo;21.38;5;;1;21,38
60206;3712;Caldera;70.64;5;;1;70,64
60301;3713;Buenos Aires;59.44;5;;1;59,44
60302;3714;Volcán;19.28;5;;1;19,28
60303;3715;Potrero Grande;10.28;5;;1;10,28
60304;3716;Boruca;23.92;5;;1;23,92
60305;3717;Pilas;13.64;5;;1;13,64
60306;3718;Colinas;9.52;5;;1;9,52
60307;3719;Chánguena;9.64;5;;1;9,64
60308;3720;Biolley;20.37;5;;1;20,37
60309;3721;Brunka;17.73;5;;1;17,73
60401;3722;Miramar;94.94;5;;1;94,94
60402;3723;La Unión;23.69;5;;1;23,69
60403;3727;San Isidro;74.47;5;;1;74,47
60501;3724;Puerto Cortés;44.21;5;;1;44,21
60502;3725;Palmar;34.69;5;;1;34,69
60503;3726;Sierpe;14.42;5;;1;14,42
60504;3728;Bahía Ballena;21.81;5;;1;21,81
40902;3625;Rincón de Sabanilla;4247.89;5;;1;4 247,89
41001;3626;Puerto Viejo;86.59;5;;1;86,59
41002;3628;La Virgen;47.37;5;;1;47,37
41003;3629;Las Horquetas;94.44;5;;1;94,44
41004;3630;Llanuras del Gaspar;81.68;5;;1;81,68
41005;3631;Cureņa;65.1;5;;1;65,1
50101;3632;Liberia;133.99;5;;1;133,99
50102;3633;Caņas Dulces;19.19;5;;1;19,19
50103;3635;Mayorga;14.32;5;;1;14,32
60112;3702;Chacarita;6094.49;5;;1;6 094,49
60113;3703;Chira;40.05;5;;1;40,05
60114;3704;Acapulco;14.88;5;;1;14,88
60115;3705;El Roble;3103.65;5;;1;3 103,65
60505;3729;Piedras Blancas;19.89;5;;1;19,89
60506;3730;Bahía Drake;16.38;5;;1;16,38
60601;3731;Quepos;121.09;5;;1;121,09
60602;3732;Savegre;20.54;5;;1;20,54
60603;3733;Naranjito;39.51;5;;1;39,51
60701;3734;Golfito;57.03;5;;1;57,03
60703;3735;Guaycará;40.67;5;;1;40,67
60704;3736;Pavón;22.55;5;;1;22,55
60801;3737;San Vito;128.18;5;;1;128,18
60802;3738;Sabalito;91.59;5;;1;91,59
60803;3739;Aguabuena;99.47;5;;1;99,47
60804;3740;Limoncito;30.66;5;;1;30,66
60805;3741;Pittier;16.34;5;;1;16,34
60806;3745;Gutiérrez Braun;18.36;5;;1;18,36
60901;3742;Parrita;48.13;5;;1;48,13
61001;3743;Corredor;67.87;5;;1;67,87
61002;3744;La Cuesta;151.51;5;;1;151,51
61003;3747;Canoas;135.36;5;;1;135,36
61004;3746;Laurel;67.32;5;;1;67,32
61101;3748;Jacó;142.8;5;;1;142,8
61102;3749;Tárcoles;109.98;5;;1;109,98
61103;3750;Lagunillas;32.51;5;;1;32,51
61201;3751;Monteverde;107.19;5;;1;107,19
61301;3752;Puerto Jiménez;69.57;5;;1;69,57
70101;3753;Limón;1005.43;5;;1;1 005,43
70102;3755;Valle La Estrella;24.23;5;;1;24,23
70103;3754;Río Blanco;79.99;5;;1;79,99
70104;3757;Matama;37.99;5;;1;37,99
70201;3756;Guápiles;353.9;5;;1;353,9
70202;3758;Jiménez;172.77;5;;1;172,77
70203;3759;Rita;69.15;5;;1;69,15
70204;3760;Roxana;123.4;5;;1;123,4
70205;3761;Cariari;203.34;5;;1;203,34
70206;3762;Colorado;81.76;5;;1;81,76
70207;3763;La Colonia;186.86;5;;1;186,86
70301;3765;Siquirres;142.19;5;;1;142,19
70302;3764;Pacuarito;70.32;5;;1;70,32
70303;3766;Florida;45.58;5;;1;45,58
70304;3767;Germania;91.5;5;;1;91,5
70305;3768;El Cairo;71.44;5;;1;71,44
70306;3769;Alegría;184.56;5;;1;184,56
70307;3770;Reventazón;24.75;5;;1;24,75
70401;3771;Bratsi;67.47;5;;1;67,47
70402;3772;Sixaola;71.11;5;;1;71,11
70403;3773;Cahuita;78.81;5;;1;78,81
70404;3774;Telire;14.41;5;;1;14,41
70501;3775;Matina;26.55;5;;1;26,55
70502;3776;Batán;125.32;5;;1;125,32
70503;3777;Carrandí;78.91;5;;1;78,91
70601;3778;Guácimo;166.94;5;;1;166,94
70602;3779;Mercedes;36.58;5;;1;36,58
70603;3780;Pocora;128.5;5;;1;128,5
70604;3781;Río Jiménez;38.56;5;;1;38,56
70605;3782;Duacarí;102.21;5;;1;102,21
